country_name,matched_fishing,matched_unknown_likelyfish,matched_nonfishing,matched_unknown_likelynonfish,unmatched_fishing,unmatched_nonfishing,sum_match_unmatched,ratio_unmatch_matched
United Arab Emirates,3.004631674,8.566655929,388.4808872,21.91033486,95.80206999,70.936022,98.80670166,0.969590811
Trinidad and Tobago,0.555837083,0.612165697,47.72754746,1.445073849,16.24709053,5.547401563,16.80292761,0.966920224
Colombia,1.217556981,0.597325995,72.9387971,2.868248406,34.58154076,18.04439532,35.79909774,0.965989171
Indonesia,65.67197153,32.48300393,1745.684921,124.7183248,1833.286992,2081.711179,1898.958964,0.965416856
Costa Rica,0.576833029,0.074449045,26.34411153,1.057545747,15.43121661,6.09824454,16.00804964,0.963966064
Ecuador,2.446805676,0.227012841,31.06828811,0.627648692,62.40196732,11.13204947,64.848773,0.962269052
Barbados,0.156654012,0.070003398,9.094793479,0.442784861,3.882099222,1.433851817,4.038753234,0.961212284
British Virgin Islands,0.063746408,0.031508424,6.770514233,0.332874655,1.48683555,0.902824599,1.550581958,0.958888721
Comoros,0.046640879,0.033935195,6.545493119,0.178122976,1.071690608,0.817091987,1.118331487,0.958294227
Panama,2.350986412,0.847312213,122.9937843,5.446582067,53.59619252,23.10458215,55.94717893,0.957978464
Saint Lucia,0.038881256,0.041887959,4.924354711,0.201495187,0.87989803,0.659036064,0.918779286,0.957681615
Djibouti,0.057069964,0.038073108,10.54408306,0.517274592,1.2128331,2.034780523,1.269903064,0.95505959
Libya,1.857744992,0.13918536,50.43935051,1.218701094,37.05510545,12.08738955,38.91285044,0.95225883
Dominica,0.05179811,0.017368742,2.938767717,0.124165541,1.027869385,0.647925785,1.079667495,0.952024016
Iran,12.6855876,7.2260152,266.7269316,15.05576656,237.5682273,135.247234,250.2538149,0.949309114
Venezuela,3.462589562,1.371822803,82.7742722,4.420485461,64.13398937,53.80759389,67.59657893,0.948775669
Aruba,0.059300676,0.275804638,10.93967584,0.501882387,0.995053907,0.907402092,1.054354583,0.94375642
Curacao,0.070245201,0.054165208,9.684447798,0.451788331,1.108003784,0.617489531,1.178248985,0.9403817
Sri Lanka,2.007816831,2.082344674,108.2160149,5.370881498,31.39759071,16.4151866,33.40540754,0.939895455
Morocco,19.29074168,0.919997894,115.2013136,3.896215674,286.4738116,25.23268008,305.7645533,0.936909817
Martinique,0.110664701,0.06486141,4.778691384,0.25722343,1.574238353,0.86548741,1.684903054,0.934319841
Tunisia,9.751450613,0.365354161,72.63341133,1.955146504,131.9075654,21.64545697,141.659016,0.931162513
Western Sahara,19.6636963,1.545948788,64.87337373,2.112805924,261.7831208,20.31928335,281.4468171,0.930133528
Saudi Arabia,5.596335973,3.446293284,260.7594844,9.716490568,74.35623962,58.68134059,79.95257559,0.930004307
